אביסל|אַ ביסל|קצת
ביין|ביין|עצם
ביינאך|ביינאַך|בלילה
ביינאנד|ביינאַנד|יחד
ביינער|ביינער|עצמות
ביינקן|ביינקען|להתגעגע, לכסוף
ביינקעניש|ביינקעניש|(=בענקעניש) געגועים, כיסופים
בייסן|בייסן|לנשוך
ביישטיין|ביישטיין|לצפות מהצד
ביישפילן|ביישפילן|דוגמאות
ביכער|ביכער|ספרים
בילד|בילד|תמונה
בילדונג|בילדונג|השכלה, חינוך כללי
בילדונגסדיפלאמן|בילדונגס דיפלאָמען|תעודות השכלה, דיפלומות
בילדער|בילדער|תמונות
ביליק|ביליק|זול
ביליקן|ביליקן|זול (מוטה)
ביליקע|ביליקע|זול (נקבה/רבים)
ביליקער|ביליקער|זול (זכר)
בין|בין|הנני (אני)
בין(פליג)|בין (פליג)|דבורה
בינאכט|בינאכט|בלילה (=ביינאכט)
בינד|בינד|קושר (אני)
בינדט|בינדט|קושר (הוא)
בינדן|בּינדן|לקשור
בינדסט|בינדסט|קושר (אתה)
בינוי|בּינוי|בניה
בינטל|בּינטל|צרור
בינטל|בינטל|חבילה
בינטעלפלייש|בּינטעל פלייש|צרור בשר
בינע|בינע|דבורה
ביסט|ביסט|(דו ביסט) אתה, הינך
ביסטו|ביסטו|אתה, הינך
ביסל|ביסל|מעט, קצת
ביסלעך|בּיסלעך|מעט מעט, בהדרגה
ביסלעכווייז|בּיסלעכווייז|בהדרגה
ביסעל|בּיסעל|כמה (בד"כ: קצת מעט)
ביסעלע|ביסעלע|מעט, קצת
ביקס|ביקס|רובה
ביר|ביר|בירה
בירגן|בּירגן|להבטיח
בירגשאפט|בּירגשאַפֿט|ערבות
ביתהמדרש|בית המדרש|בית מדרש
בכינה|בּכינה|דמעות
בכן|בּכן|לכן
בלאז|בלאָז|כחול
בלאזן|בלאָזן|לתקוע
בלאט|בלאַט|עלה, דף
בלאטיק|בּלאָטיק|בוצי
בלאטע|בלאָטע|טיט
בלאטעס|בּלאָטעס|בוץ
בלאם|בּלאָם|פרח
בלאמיק|בּלאָמיק|פורח
בלאנדן|בלאָנדן|לתעות
בלאס|בלאַס|חיוור
בלבב|בלבב|בלב
בלוט|בלוט|דם
בלוטבלבולים|בלוט-בלבולים|עלילות דם
בלוטיקן|בלוטיקן|לדמם
בלוטפערלאפענע|בלוט-פערלאָפענע|מלאי דם, אדמומי
בלוי|בלוי|כחול
בלויבן|בּלויבן|להישאר
בלויז|בלויז|רק
בלויזע|בלויזע|חשופים
בלוין|בלוין|כחול (מוטה)
בלויע|בלויע|כחול (נקבה/רבים)
בלויער|בלויער|כחול (זכר)
בלום|בלום|פרח
בלומן|בלומען|פרחים
בליי|בליי|עופרת
בלייב|בלייב|נשאר (אני)
בלייבט|בלייבט|נשאר
בלייבן|בלייבן|להישאר
בלייבן|בּלייבן|להִשאר
בלייבסט|בלייבסט|נשאר (אתה)
בלייכן|בלייכן|להלבין
בלייער|בלייער|עיפרון
בלינקן|בּלינקען|לנצנץ
בליענדיק|בליענדיג|פורח, פורח ועולה
בליץ|בּליץ|ברק
בליצן|בּליצען|הברקות
בליק|בליק|מבט
בליקן|בּליקן|להביט
בלעטל|בּלעטל|עלה
בלעטלעך|בלעטלעך|דפים קטנים, פתקים
בלעטן|בּלעטן|לדפדף
בלעטעל|בּלעטעל|עלעלה, דפון
בלעטעלע|בּלעטעלע|עלעלה קטנה
בלעטער|בּלעטער|עלים
בלעכער|בלעכער|פחח (בעל מלאכה בפח)
בלעקל|בלעקל|כתם
במיטן|בּמיטן|באמצע
בנין|בּנין|בניין
בעאבאכטונגן|בּעאָבּאַכטונגען|תצפיות, הסתכלויות
בעאמטע|בעאַמטע|פקידים, עובדי ציבור
בעגייסטערונג|בעגייסטערונג|התלהבות, התפעלות
בעגלייט|בעגלייט|ליווה, מלווה
בעגלייטונג|בּעגלייטונג|ליווי, פמליה
בעגלייטן|בּעגלייטען|ללוות
בעגלייטער|בעגלייטער|מלווה, שומר
בעגליקן|בעגליקן|לגרום אושר, להצליח
בעגרייפט|בּעגרייפט|תופס, משיג
בעגרייפליך|בּעגרייפליך|מובן, ברור
בעגרייפן|בּעגרייפען|לתפוס, להשיג
בעגריף|בּעגריף|מושג, רעיון
בעגרעניצונג|בעגרעניצונג|הגבלה
בעגרעניצט|בעגרעניצט|מוגבל
בעגרענעצונג|בעגרענעצונג|הגבלה, גבול
בעדארף|בּעדאַרף|צריך
בעדארפט|בעדארפט|היה צריך (=באדארפט)
בעדארפמן|בעדארפמן|צריכים (בעדארף מען)
בעדארפן|בּעדאַרפען|יצטרך
בעדייט|בעדייט|משמעות, פירוש
בעדייטונג|בעדייטונג|משמעות
בעדייטן|בעדייטן|לסמן, להורות על
בעדייטעט|בעדייטעט|פירושו, משמעו
בעוואונדערן|בעוואוּנדערען|להתפעל, להעריץ
בעוואוסט|בעוואוסט|מודע, ידוע
בעוואוסטע|בעוואוסטע|ידועים, מפורסמים
בעוויזטזיך|בעוויזט-זיך|מראה-את-עצמה, מופיעה
בעוויזן|בעוויזן|הראה; הספיק
בעווייז|בּעווייז|הוכחה
בעווייזט|בעווייזט|מראה, מוכיח
בעווייזן|בעווייזן|להראות, להוכיח
בעוועגונג|בעוועגונג|תנועה, תנועה
בעוועגט|בּעוועגט|נע, בתנועה
בעויפטונגן|בעהויפּטונגען|ראשיים
בעזונדער|בעזונדער|בנפרד, במיוחד
בעזונדערע|בעזונדערע|מיוחדות, נפרדות (=באזונדערע)
בעזייטיגונג|בּעזייטיגונג|הסרה, ביטול
בעזייטיגטזיין|בּעזייטיגט-זיין|להיות מוסר, להיסלק
בעזייטיגן|בּעזייטיגען|לְהסיר, להרחיק, לסלק, להסיר, לבטל
בעזיצט|בעזיצט|מחזיק, בעלים
בעזיצן|בעזיצן|(=באזיצן) להחזיק בבעלות
בעזעם|בעזעם|מטאטא
בעט|בּעט|מיטה
בעט(שלאף)|בעט (שלאָף)|מיטה
בעטאנט|בעטאָנט|מודגש, מוטעם
בעטזיך|בּעט זיך|מתחנן
בעטייט|בעטייט|משמעות, פירוש
בעטלעריי|בעטלעריי|קבצנות, פשיטת יד
בעטן|בעטן|לבקש
בעטןזיך|בעטן זיך|להתחנן
בעטןמחילה|בעטן מחילה|לבקש סליחה
בעטסט|בעטסט|מבקש (אתה)
בעטראכט|בעטראכט|בחשבון (אין בעטראכט); התבוננות
בעטראכטן|בּעטראכטען|לבדוק, בחן, בוחן
בעטראכטענדיק|בּעטראַכטענדיג|בהתבוננותי
בעכער|בעכער|כוס
בעלהביתטע|בעל־הביתטע|בעלת הבית
בעלחוב|בּעל חוב|נושה
בעליידיגונגן|בּעליידיגונגען|עלבונות, פגיעות
בעלייכט|בּעלייכט|מוּאר, מואר
בעלייכטונג|בעלייכטונג|תאורה, הארה
בעלייכטן|בעלייכטן|להאיר
בעלמלאכה|בּעל מלאכה|אומן
בעלנים|בעלנים|מתנדבים
בעלעבט|בעלעבט|ערני, חי
בעלצדקה|בּעל צדקה|נדבן
בעלתפלה|בּעל תפלה|שליח ציבור
בעמערקט|בּעמערקט|הבחין, שם לב, הכיר, שם לב
בענוגענט|בּענוגענט|מסתפק, מרוצה
בענוצונג|בּענוּצוּנג|שימושיות
בענטש|בענטש|מברך (אני)
בענטשט|בענטשט|מברך (הוא)
בענטשן|בענטשן|לברך, לברך ברכת המזון
בענטשןליכט|בענטשן ליכט|להדליק נרות
בענטשסט|בענטשסט|מברך (אתה)
בעניגענטזיך|בּעניגענט זיך|להסתפק, להסתפק
בענעם|בּענעם|התפיסה
בענעמט|בּענעמט|תופס
בענצן|בענצן|(=בענטשן) לברך; ברכת המזון
בענק|בּענק|ספסלים
בענקט|בענקט|מתגעגע, כוסף
בענקל|בענקל|ספסל
בענקלעך|בענקלעך|כסאות
בענקן|בענקען|להתגעגע
בענקעניש|בענקעניש|געגועים, כיסופים
בענקשאפט|בּענקשאַפֿט|געגועים
בעסט|בעסט|הטוב ביותר
בעסטן|בּעסטען|טוֹבים ביותר
בעסטער|בעסטער|הטוב ביותר
בעסער|בעסער|יותר טוב
בעסערווערן|בעסער ווערן|להשתפר
בעסערונג|בעסערונג|שיפור
בעסערן|בעסערן|לשפר
בעסערס|בּעסערס|טוב יותר, עדיף
בעסערער|בעסערער|טובים-יותר
בעעפט|בעהעפט|מחובר, קשור
בעפאר|בּעפאָר|לִפני
בעפעל|בּעפעל|ציווי
בעפעלקערונג|בעפעלקערונג|אוכלוסייה
בעפרידיגן|בעפרידיגען|לרצות, לספק
בעפרייט|בעפרייט|שוחרר, משוחרר
בעפריינדעט|בּעפריינדעט|התיידד
בעצייכנט|בעצייכנט|מציין, מסמן
בעצייכענן|בעצייכענן|לציין, לסמן
בעקאנט|בּעקאנט|מוכר, ידוע
בעקאנטע|בעקאַנטע|מַכָּרים
בעקאנטעמענשן|בעקאַנטע מענשען|אנשים מוכרים
בעקן|בעקן|לאפות
בעקעמפן|בעקעמפען|להִלָחם, להֵאָבֵק
בעקער|בעקער|אופה
בער|בער|דוב
בעראטונג|בּעראַטונג|יעוץ
בעראטן|בּעראַטן|לייעץ
בערג|בּערג|הר
בערגל|בּערגל|גבעה
בעריכט|בּעריכט|תיאור
בעריק|בּעריק|מסוגל
בעריקייט|בּעריקייט|כשרות
בערן|בּערן|לשרוף
בעשאפן|בעשאפן|ברא, נברא
בעשווערט|בּעשווערט|מתלונן, טוען
בעשטימטער|בּעשטימטער|קבועים
בעשיינפערליך|בעשיינפערליך|בבירור, בעליל
בעשיצט|בּעשיצט|מוגן, שמור
בעשלוס|בּעשלוּס|החלטה, פסק
בעשליסן|בּעשליסען|להחליט, לפסוק
בעשעפטיגונג|בעשעפטיגונג|עִיסוק
בעשעפעניש|בעשעפעניש|יצור, ברייה
בעשרייבליך|בּעשרייבליך|ניתן לתיאור, מתואר
בעשרייבן|בעשרייבן|לתאר, לכתוב תיאור
בקקן|בּקַקען|אפי'
בראטן|בראָטן|לצלות
בראכט|בראכט|הביא (געבראכט)
בראנגל|בּראַנגל|ויכוח
בראנגלן|בּראַנגלען|להתנצח
בראנד|בּראַנד|שריפה
בראנפן|בראָנפן|יי"ש, משקה חריף
ברודער|ברודער|אח
ברוט|בּרוּט|לחם
ברויט|ברויט|לחם
ברוין|ברוין|חום
ברוכעם|בּרוּכעם|באר
ברום|בּרום|נהמה, שאגה (של אריה)
ברונן|בּרונען|באר
ברונעם|ברונעם|באר
ברוסט|ברוסט|חזה
ברידער|ברידער|אחים
ברידערלעך|ברידערלעך|אחיי
ברידערשאפט|ברידערשאַפֿט|אחווה
בריוו|בריוו|מכתב
בריוואקסל|בּריוואַקסל|התכתבות
בריוועלע|בריוועלע|מכתב קטן, פתק
ברייט|ברייט|רוחב
ברייט|בּרייט|רָחָב
ברייטן|בּרייטן|להרחיב
ברייטע|ברייטע|רחב (נקבה/רבים)
ברייטער|ברייטער|רחב
ברייטערסטע|ברייטערסטע|הכי-רחב
ברייטקייט|בּרייטקייט|רוחב
בריינגט|בריינגט|מביא
ברין|בריען|לחלוט, לבשל
בריעף|בריעף|מכתבים
בריף|בריף|מכתב, מכתבים
בריק|בריק|גשר
ברכהבעטן|ברכה בעטן|לבקש ברכה
ברן|בּרען|להט
ברעג|ברעג|שפה, גדה, קצה
ברעטער|ברעטער|קרשים, לוחות
ברעך|ברעך|שובר (אני)
ברעךט|ברעךט|שובר (הוא)
ברעךסט|ברעךסט|שובר (אתה)
ברעכט|בּרעכט|שובר
ברעכטאויס|בּרעכט אויס|פרץ, התפרץ
ברעכין|ברעכין|לשבור (=ברעכן)
ברעכן|ברעכן|לשבור
ברעןט|ברעןט|בוער (הוא)
ברעןסט|ברעןסט|בוער (אתה)
ברענג|ברענג|מביא (אני)
ברענגט|ברענגט|מביא (הוא)
ברענגן|ברענגען|להביא
ברענגסט|ברענגסט|מביא (אתה)
ברענט|בּרענט|שורף
ברענן|ברענען|לשרוף
ברענענדיגער|ברענענדיגער|בוער, לוהט
ברענענדיק|ברענענדיק|בוער, לוהט
ברענענדיקע|ברענענדיקע|בוערת
ברעקל|ברעקל|פירור
בתפלה|בתפלה|בתפילה
בתקול|בת-קול|בת קול
גאונישן|גאונישן|גאוני
גאט|גאָט|אלוהים
גאטסמאן|גאָטסמאַן|איש אלוהים
גאטעסדינסט|גאָטעסדינסט|עבודת אלוהים
גאלד|גאָלד|זהב
גאלדענע|גאָלדענע|זהובים
גאלדענעם|גאָלדענעם|זהוב
גאנג|גאַנג|מסדרון
גאנגבאר|גאַנגבאַר|מעשי
גאנגן|גאַנגן|ניהול
גאנדז|גאַנדז|אווז
גאנט|גאַנט|מַהַלָך
גאניק|גאַניק|מרפסת
גאנץ|גאנץ|בשלמות
גאנץ|גאַנץ|לגמרי
גאנץן|גאַנץן|שלם (מוטה)
גאנץע|גאַנץע|שלם (נקבה/רבים)
גאנץער|גאַנץער|שלם (זכר)
גאנצהייט|גאַנצהייט|שלמות
גאנצן|גאַנצן|בשלמות
גאנצןזיין|גאַנצן זיין|להיות שלם
גאנצע|גאַנצע|שלמה
גאנצעאינגאנצן|גאַנצע אינגאַנצן|לגמרי
גאנצער|גאַנצער|שלם (זכר)
גאנצקייט|גאַנצקייט|שלמות
גאס|גאַס|רחוב
גאסט|גאַסט|אורח
גאסן|גאַסן|רחובות
גאפל|גאָפּל|מזלג
גאר|גאַָר|לגמרי
גאר|גאָר|מאד
גארטיל|גארטיל|אבנט, חגורה (של תפילה)
גארטל|גאַרטל|חגורה, אבנט
גארטל(דאוונען)|גאַרטל (דאַוונען)|אבנט לתפילה
גארטלן|גאַרטלען|חגורות
גארטן|גאָרטן|גן
גארטן|גאָרטען|גינה
גארטעל|גארטעל|אבנט, חגורה
גארניט|גאָרניט|כלום, שום־דבר
גארנישט|גאָרנישט|כלום
גובערנאטאר|גובערנאַטאָר|מושל
גובערניעס|גובערניעס|פלכים, מחוזות
גוואלד|גוואַלד|עזרה! אוי!
גוואלטיק|גוואַלטיק|עצום
גוואלטיקייט|גוואַלטיקייט|עוצמה
גווארנטיע|גוואַרנטיע|ערבות
גווארנטירן|גוואַרנטירן|להבטיח
גוט|גוט|אחוזה
גוטבאוואוסטער|גוּטבּאַוואוּסטער|מוּכַּר-טוב
גוטיוםטוב|גוט יום־טוב|חג שמח
גוטמארגן|גוט מאָרגן|בוקר טוב
גוטמוטיגע|גוּטמוּטיגע|מצב רוח טוב...
גוטן|גוטן|טוב (מוטה)
גוטןאוונט|גוטן אָוונט|ערב טוב
גוטןמארגן|גוטן מאָרגן|בוקר טוב
גוטס|גוטס|טובות
גוטסטאג|גוטס-טאָג|יום טוב
גוטסקייט|גוטסקייט|טוּב
גוטסקייט|גוּטסקייט|טוּב, טובת לב
גוטע|גוטע|טוב
גוטעמידות|גוטע מידות|מידות טובות
גוטענאכט|גוטע נאַכט|לילה טוב
גוטער|גוטער|טוב (זכר)
גוטעראינסטינקט|גוטער אינסטינקט|אינסטינקט טוב
גוטערפריינד|גוטער־פריינד|ידיד טוב
גוטשבת|גוט שבת|שבת שלום
גויאישע|גויאישע|של-גויים
גטלעכקייט|ג־טלעכקייט|אלקות
גיב|גיב|תן!, נותן (אני)
גיבליבן|גיבליבן|נשאר (=געבליבן)
גיבן|גיבן|נותנים; לתת (=געבן)
גיגאנגן|גיגאנגן|הלך (געגאנגען)
גיגעבן|גיגעבן|(=געגעבן) נתן, נתון
גידארפט|גידארפט|(=געדארפט) היה צריך
גיהאט|גיהאט|היה ל־ (עבר של האבן; =געהאט)
גיהארעוועט|גיהארעוועט|עמל, יגע (עבר)
גיהנום|גיהנום|גיהנם
גיהערט|גיהערט|שמע; שייך (=געהערט)
גיזאגט|גיזאגט|אמר (=געזאגט)
גיזונטע|גיזונטע|בריאים
גיטא|גיט אַ|נותן
גיטאן|גיטאן|עשה (=געטאן)
גיי|גיי|הולך (אני)
גייט|גייט|הולך
גיין|גיין|ללכת
גייסט|גייסט|רוח, נשמה
גייסטיק|גייסטיק|רוחני
גייסטיקייט|גייסטיקייט|רוחניות
גייסטיקן|גייסטיקן|רוחני
גייסטיקע|גייסטיקע|רוחניים
גייסטיקער|גייסטיקער|רוחני
גייסטער|גייסטער|רוחניים
גייענדיק|גייענדיק|תוך כדי הליכה, בהליכתו
גייער|גייער|הולך (אדם)
גיך|גיך|מהר, בחיפזון, מהיר, בזריזות
גיךן|גיךן|מהיר (מוטה)
גיךע|גיךע|מהיר (נקבה/רבים)
גיךער|גיךער|מהיר (זכר)
גיכער|גיכער|יותר מהר
גילערנט|גילערנט|למד (=געלערנט)
גימאכט|גימאכט|עשה, נעשה (=געמאכט)
גינארט|גינארט|רימה, הונה (גענארט)
גינוג|גינוג|מספיק (גענוג)
גינומן|גינומן|לקח (=גענומען)
גיס|גיס|שופך (אני)
גיסט|גיסט|שופך (אתה)
גיסן|גיסן|לשפוך
גיענטפערט|גיענטפערט|ענה (געענטפערט)
גיפרעגט|גיפרעגט|(=געפרעגט) שאל
גיקומן|גיקומן|בא (=געקומען)
גירופן|גירופן|(=גערופן) נקרא, כונה
גירסא|גירסא|גרסה
גירעדט|גירעדט|דיבר (=גערעדט)
גירעט|גירעט|דיבר (=גערעדט)
גישפירט|גישפּירט|הרגיש
גישריבן|גישריבן|כתוב (=געשריבן)
גלאז|גלאָז|כוס
גלאט|גלאט|חלק; סתם
גלאטיק|גלאַטיק|חלק
גלאטקייט|גלאַטקייט|חלקות, שטחיות
גלאנץ|גלאַנץ|ברק, זוהר
גלאנצן|גלאַנצן|להבריק
גלויב|גלויב|אמונה
גלויבט|גלויבט|מאמין (מן גלויבן)
גלויביק|גלויביק|מאמין
גלויביקייט|גלויביקייט|אמונה
גלויביקער|גלויביקער|מאמין
גלויבן|גלויבן|להאמין
גלויבן|גלויבּן|אמונה
גלידער|גלידער|איברים
גליטשיקער|גליטשיקער|חלקלק
גלייב|גלייב|מאמין (אני)
גלייבט|גלייבט|מאמין (הוא)
גלייבסט|גלייבסט|מאמין (אתה)
גלייך|גלייך|ישר, שווה
גלייךווי|גלייך ווי|כמו, כאילו
גלייכגילטיק|גלייכגילטיק|אדיש
גלייכגילטיקייט|גלייכגילטיקייט|אדישות
גלייכווערטל|גלייכווערטל|פתגם, אמרה שנונה
גלייכן|גלייכן|לדמות
גלייכע|גלייכע|ישרים; שווים
גלייכער|גלייכער|ישר יותר; עדיף
גלייכערוועג|גלייכער וועג|דרך ישרה
גלייכצייטיק|גלייכצייטיק|בו בזמן
גלייכקייט|גלייכקייט|יָשרוּת
גליק|גליק|מזל, אושר
גליקליכסטע|גליקליכסטע|הִכי-מאושרים
גליקליכע|גליקליכע|מאושרים
גליקליכער|גליקליכער|מאושר
גליקלעך|גליקלעך|מאושר
גליקלעכע|גליקלעכע|מאושר, בר-מזל
גליקלעכקייט|גליקלעכקייט|אושר
גלעזער|גלעזער|כוסות, משקפיים
גלעזערווייז|גלעזערווייז|בכוסות, כוס אחר כוס
גלעזערן|גלעזערן|עשוי זכוכית
גלעט|גלעט|מלטף; חלק
גלעקער|גלעקער|פעמונים
גנבענן|גנבענען|לגנוב
גע|גע-|קידומת לעבר
געאגראפיע|געאָגראַפיע|גאוגרפיה
געאדוועט|געהאָדוועט|גידל
געאט|גע­האַט|היה לו
געאיילט|געאיילט|הִאיץ, הִזדרז
געאלטן|געהאַלטן|החזיק
געאלטן(האט)|געהאַלטן (האָט)|אחזו
געאלפן|געהאָלפן|עזר
געאנגן|געהאָנגען|תלוי
געאנדעלט|געהאַנדעלט|נוהל, עסק
געאנדעלטהאטזיך|געהאַנדעלט האָט זיך|עסק ב-, נוהל
געאסרט|געאסרט|נאסר
געאףט|געהאָףט|קיווה
געאפט|געהאָפט|קיווה
געאקערט|געאַקערט|חרש
געארבעטט|געאַרבעטט|עבד
געארט|געארט|הפריע, שינה לו (עס האט אים געארט)
געארעוועט|געהארעוועט|עמל, עבד קשה
געבאקן|געבאַקן|אפה
געבארן|געבאָרן|נולד
געבארענע|געבארענע|ילידת, נולדה
געבארענער|געבארענער|יליד
געבוט|גע­בוט|פקודה, מצווה
געבוטן|גע­בוטן|מצוות
געבויט|געבויט|בנה
געבויטע|געבויטע|בנויים
געבוין|געבויען|בנוי, בנה
געבוירןגעווארן|געבוירן געוואָרן|נולד
געבוירנטאג|געבוירנטאָג|יום הולדת
געבונדן|געבונדן|קשור
געבורט|געבורט|הולדת
געבורטסטאג|גע­בורטסטאָג|יום הולדת
געביט|געביט|תחום
געביטן|געבּיטן|שִינה
געביטן|געבּיטען|הִשתנה, הַחליף, שִינה
געביידע|געביידע|בניין
געבילדעסטע|געבילדעסטע|המשכילים ביותר
געבין|געבין|(=געבן) לתת
געבלאזן|געבלאָזן|תקע
געבלאזן|געבּלאָזען|נשב
געבליבן|געבּליבּען|נשאר
געבן|געבן|לתת
געבעט|גע­בעט|תפילה, בקשה
געבעטט|געבעטט|ביקש
געבעטן|געבעטן|לבקש
געבעטסבוך|גע­בעטסבוך|סידור
געבענטשט|געבענטשט|מבורך
געבענקט|געבענקט|התגעגע
געבראכט|געבראַכט|הביא
געבראכט(האט)|געבראַכט (האט)|הביא
געבראכטגעווארן|געבראַכט געוואָרן|הובא
געבראכן|געבראָכן|שבר
געבריינגט|געבריינגט|הביא
געברענט|געברענט|בער, נשרף
געגאנגן|געגאַנגען|הלך
געגאסן|געגאָסן|שנשפכו
געגלייבט|געגלייבט|האמין
געגנבעט|געגנבעט|גנב, נגנב
געגנט|געגנט|איזור
געגעבן|געגעבען|נתן, נתון
געגעבןגעווארן|געגעבן געוואָרן|ניתן
געגענד|געגענד|איזור (שכונה)
געגעסן|געגעסען|אכל
געגריבלט|געגריבלט|חרוץ, שרוט
געגרייטע|געגרייטע|מוכנים
געגרינדעט|געגרינדעט|ייסד
געדאווןט|געדאַווןט|התפלל
געדאוונט|געדאַוונט|התפלל
געדאכט|גע­דאַכט|חשב
געדאנק|געדאַנק|הגות
געדאנק|געדאַנק|מחשבה
געדאנקט|געדאַנקט|הודה
געדאנקן|גע­דאַנקן|מחשבות
געדאנקנאויסטויש|גע­דאַנקנאויסטויש|חילופי מחשבות
געדאנקנגאנג|גע­דאַנקנגאַנג|מהלך מחשבה
געדאנקנוועלט|גע­דאַנקנוועלט|עולם המחשבה
געדאנקעןפארארטיפונג|געדאַנקען-פאַרארטיפונג|רעיונות עמוקים
געדארפט|געדאַרפט|הוצרך
געדארפט(האט)|געדאַרפט (האָט)|צריך היה
געדויערט|געדויערט|נמשך, נִמשך
געדויערן|געדויערן|נִמשך (בנוגע לזמן)
געדויערן|געדויערען|יִמָשֵך (בנוגע לזמן)
געדולד|געדולד|סבלנות
געדולט|געדוּלט|אורך רוח, סבלנות
געדונגענע|געדוּנגענע|שׂכוּרים
געדונערט|געדונערט|רָעַמה
געדיינק|געדיינק|זוכר
געדיינקט|געדיינקט|זוכר, לִזכור
געדיינקן|געדיינקן|לזכור
געדיכט|געדיכט|עב, סמיך
געדענק|געדענק|זוכר (אני)
געדענקט|געדענקט|זוכר (הוא)
געדענקן|געדענקען|לזכור
געדענקסט|געדענקסט|זוכר (אתה)
געדענקסטו|געדענקסטו|האם אתה זוכר?
געדעקט|געדעקט|כיסה
געדערציילט|געדערציילט|סיפר
געדרוקט|געדרוקט|מודפס
געדרוקטע|געדרוּקטע|מודפסים
געדרייט|געדרייט|סובב, הסתובב
געדריקט|געדריקט|לחץ; העיק
געוואויןט|געוואויןט|גר
געוואוינהייט|געוואוינהייט|הרגל
געוואוינט|געוואַָוינט|גר
געוואוינט|געוואָוינט|הִתגוררו
געוואונדערט|געוואונדערט|התפלא
געוואונטשן|געוואונטשן|איחל, בירך
געוואונן|געוואַונען|זכה, ניצח
געוואוסט|געוואָוסט|ידע
געוואוסט(שוין)|געוואָוסט (שוין)|ידע, ידעו
געוואלגערט|געוואלגערט|התגולל
געוואלד|געוואלד|זעקה, צעקה; אבוי
געוואלדיק|געוואַלדיק|עצום, אדיר
געוואלט|געוואָלט|רצה
געוואנדן|געוואָנדן|?פנה, פנו
געוואקסן|געוואָקסן|גָדַל
געוואקסן|געוואַקסן|גדלו
געווארטט|געוואַרטט|חיכה
געווארן|גע­וואָרן|נהיה
געווארנט|געוואָרנט|הוזהר
געווארענער|געווארענער|שנעשה, שהפך ל־
געווארפן|געוואָרפן|זרק
געווארפן|געוואָרפען|זרק, השליך, זרק
געוואשן|געוואַשן|רחץ
געווהענט|געווהענט|גָרו
געוויזן|געוויזן|מראה
געוויזן|געוויזען|הראה
געוויזן(האט)|געוויזן (האָט)|שלח
געווייזט|געווייזט|הראה
געוויין|געוויין|בכי
געוויינט|גע­וויינט|בכה
געוויינטליך|געוויינטליך|בצורה רגילה, ללא שימת לב
געוויינטליכע|געוויינטליכע|רגילים, שגרתיים
געוויינליך|געוויינליך|?רגילות, קביעות
געוויינלעך|געוויינלעך|רגיל, שכיח
געוויינלעכן|געוויינלעכן|רגיל
געוויינלעכע|געוויינלעכע|רגילים
געוויכט|געוויכט|משקל, כובד
געווינט|געווינט|נוצח
געווינטשט|געווינטשט|איחל
געווינטשן|געווינטשן|איחל
געווינן|געווינען|לתפוס, לקנות, להרוויח, לזכות
געווינס|געווינס|זכייה, רווח
געווינסצעטל|געווינסצעטל|כרטיס הגרלה זוכה
געוויס|געוויס|בוודאי, בטוח, בטוח, בוודאות
געוויסן|גע­וויסן|מצפון
געוויסן|געוויסען|מסויימים
געוויסנהאפט|גע­וויסנהאַפֿט|מצפוני
געוויסע|געוויסע|מסוימים, ידועים
געוויסער|געוויסער|מסוים, מסוים, ידוע, מסויים
געווירקט|געווירקט|פעל, גרם
געוון|געווען|היה
געוועזן|גע­וועזן|היה
געווענדט|געווענדט|כרוך, תלוי, תלוי, כרוך
געווענליכער|געווענליכער|רגיל
געוועקט|געוועקט|עורר, הקיץ
געווערט|געווערט|נהי' (לוקח)
געויבן|געהויבען|מורם, נעלה
געוייבענעם|געהוייבענעם|נעלה
געוסט|געהוסט|השתעל
געזאגט|גע­זאָגט|אמר
געזאלט|געזאָלט|אמור להיות, צריך
געזאמלט|געזאַמלט|אסף, נאסף
געזאנג|געזאַנג|שירה, זמר
געזארגט|געזאָרגט|דאג, דאגה
געזוךט|געזוךט|חיפש
געזוכט|געזוכט|מחפש
געזונגן|געזונגען|שר
געזונד|געזונד|בריא, בריאות
געזונדצושטאנד|געזונד-צושטאַנד|מצב בריאות
געזונט|געזונט|בריא, בריאות
געזונטהייט|געזונטהייט|בריאות
געזונטווערן|געזונט ווערן|להבריא
געזונטן|געזונטן|בריא (מוטה)
געזונטע|געזונטע|בריא (נקבה/רבים)
געזונטער|געזונטער|בריא (זכר)
געזונטערהייט|געזונטערהייט|לבריאות
געזיכטער|געזיכטער|פּנֵי, פּרצופי
געזן|גע­זעהן|ראה
געזן|געזען|לראות
געזעגנט|געזעגנט|(זיך) נפרד לשלום
געזעגענן|געזעגענען|להיפרד
געזעלן|גע­זעלן|לחברות
געזעלשאפט|געזעלשאַפֿט|חברה
געזעלשאפטליכן|געזעלשאַפטליכען|בסיסיים, עיקריים
געזעלשאפטלעך|געזעלשאַפֿטלעך|חברותי
געזען|געזעהען|ראה
געזעסן|געזעסן|ישבו, ישב
געזעסן|געזעסען|ישב, היה יושב, לשֶבת
געזעץ|גע­זעץ|חוק
געזעץט|געזעץט|הושיב
געזעצבוך|גע­זעצבוך|ספר חוקים
געזעצט|געזעצט|ישב
געזעציק|גע­זעציק|חוקי
געחאפט|געחאפט|תפס, חטף
געחזרט|געחזרט|חזר (על מאמר או שיעור)
געחלומט|געחלומט|חלם
געחלשט|געחלשט|התעלף
געט|געט|גט
געטאהן|געטאָהן|עשה
געטאן|גע­טאָן|עשה
געטאן(האט)|געטאָן (האָט)|עשה, עשית
