אַ ביסל|קצת|a little
בּעזייטיגונג|הסרה, ביטול|removal, elimination
בּעזייטיגט-זיין|להיות מוסר, להיסלק|to be removed, to be eliminated
בּעזייטיגען|לְהסיר, להרחיק, לסלק, להסיר, לבטל|to remove, to eliminate
בעזיצט|מחזיק, בעלים|possesses, owns
בעזיצן|(=באזיצן) להחזיק בבעלות|to possess, to own
בעזעם|מטאטא|broom
בעזעצען|ליישב, לאכלס|to settle, to populate
בּעט|מיטה|bed
בּעט זיך|מתחנן|pleads, begs
בעט (שלאָף)|מיטה|bed
בעטאָנט|מודגש, מוטעם|emphasized, stressed
בעטאנען|להדגיש|to emphasize
בעטייט|משמעות, פירוש|meaning, significance
בעטלעריי|קבצנות, פשיטת יד|begging, mendicancy
בעטן|לבקש|to ask, to request
בעטן זיך|להתחנן|to plead, to beg
בעטן מחילה|לבקש סליחה|to ask forgiveness
בעטסט|מבקש (אתה)|(you) ask
בעטראכט|בחשבון (אין בעטראכט); התבוננות|consideration; contemplation
בּעטראכטען|לבדוק, בחן, בוחן|to examine, to consider
בּעטראַכטענדיג|בהתבוננותי|while contemplating
בעכער|כוס|goblet, cup
בּעל חוב|נושה|creditor
בּעל מלאכה|אומן|craftsman, artisan
בּעל צדקה|נדבן|philanthropist, giver of charity
בּעל תפלה|שליח ציבור|prayer leader
בעל־הביתטע|בעלת הבית|lady of the house
בּעליידיגונגען|עלבונות, פגיעות|insults, offenses
בּעלייכט|מוּאר, מואר|illuminated
בעלייכטונג|תאורה, הארה|lighting, illumination
בעלייכטן|להאיר|to illuminate
בעלנים|מתנדבים|volunteers, willing ones
בעלעבט|ערני, חי|lively, animated
בּעמערקט|הבחין, שם לב, הכיר, שם לב|noticed, remarked
בענדער|כרכים|volumes
בּענוגענט|מסתפק, מרוצה|content, satisfied
בּענוּצוּנג|שימושיות|usage, use
בענוצען|להשתמש|to use
בענטש|מברך (אני)|(I) bless
בענטשט|מברך (הוא)|(he) blesses
בענטשן|לברך, לברך ברכת המזון|to bless, to say grace
בענטשן ליכט|להדליק נרות|to light candles
בענטשסט|מברך (אתה)|(you) bless
בּעניגענט זיך|להסתפק, להסתפק|to content oneself
בּענעם|התפיסה|grasp, comprehension
בּענעמט|תופס|grasps
בענעמען|לשבות לב; להתנהג|to captivate; to behave
בענצן|(=בענטשן) לברך; ברכת המזון|to bless; grace after meals
בּענק|ספסלים|benches
בענקט|מתגעגע, כוסף|longs, yearns
בענקל|ספסל|bench, stool
בענקלעך|כסאות|chairs
בענקען|להתגעגע|to long, to yearn
בענקעניש|געגועים, כיסופים|longing, yearning
בּענקשאַפֿט|געגועים|longing, yearning
בענשען|לברך|to bless
בעסט|הטוב ביותר|best
בּעסטען|טוֹבים ביותר|best (inflected)
בעסטער|הטוב ביותר|best
בעסער|יותר טוב|better
בעסער ווערן|להשתפר|to improve, to get better
בעסערונג|שיפור|improvement
בעסערן|לשפר|to improve
בּעסערס|טוב יותר, עדיף|better, preferable
בעסערער|טובים-יותר|better
בּעפאָר|לִפני|before
בּעפעל|ציווי|command, order
בעפעלקערונג|אוכלוסייה|population
בעפרידיגען|לרצות, לספק|to satisfy
בעפרייט|שוחרר, משוחרר|freed, liberated
בּעפריינדעט|התיידד|befriended
בעצייכנט|מציין, מסמן|denotes, marks
בעצייכענט|ציין, סימן|denoted, marked
בעצייכענן|לציין, לסמן|to denote, to mark
בּעקאנט|מוכר, ידוע|known, familiar
בעקאַנטע|מַכָּרים|acquaintances
בעקאַנטע מענשען|אנשים מוכרים|familiar people
בעקאנטער|מוכר, ידוע (זכר)|acquaintance; well-known
בעקומען|לקבל, קיבל|to receive; received
בעקן|לאפות|to bake
בעקעמפען|להִלָחם, להֵאָבֵק|to combat, to fight
בעקער|אופה|baker
בער|דוב|bear
בּעראַטונג|יעוץ|consultation, counsel
בּעראַטן|לייעץ|to advise, to counsel
בּערג|הר|mountain
בּערגל|גבעה|hill
בּעריכט|תיאור|report, account
בּעריק|מסוגל|capable
בּעריקייט|כשרות|capability
בּערן|לשרוף|to burn
בעשאפן|ברא, נברא|created
בּעשווערט|מתלונן, טוען|complains, protests
בּעשטימטער|קבועים|fixed, determined
בעשיינפערליך|בבירור, בעליל|clearly, evidently
בּעשיצט|מוגן, שמור|protected, guarded
בּעשלוּס|החלטה, פסק|decision, ruling
בּעשליסען|להחליט, לפסוק|to decide, to rule
בעשעפטיגונג|עִיסוק|occupation, activity
בעשעפעניש|יצור, ברייה|creature
בעשעפער|בורא|Creator
בּעשרייבליך|ניתן לתיאור, מתואר|describable
בעשרייבן|לתאר, לכתוב תיאור|to describe
בּקַקען|אפי'|to bake
בראָטן|לצלות|to roast, to fry
בראכט|הביא (געבראכט)|brought
בּראַנגל|ויכוח|quarrel, dispute
בּראַנגלען|להתנצח|to quarrel, to wrangle
בּראַנד|שריפה|fire, blaze
בראָנפן|יי"ש, משקה חריף|whiskey, liquor
ברודער|אח|brother
בּרוּט|לחם|bread
ברויט|לחם|bread
ברוין|חום|brown
בּרוּכעם|באר|well
בּרום|נהמה, שאגה (של אריה)|roar, growl
ברונעם|באר|well
בּרונען|באר|well
ברוסט|חזה|chest, breast
ברידער|אחים|brothers
ברידערלעך|אחיי|brotherly; my brothers
ברידערשאַפֿט|אחווה|brotherhood
בריוו|מכתב|letter
בּריוואַקסל|התכתבות|correspondence
בריוועלע|מכתב קטן, פתק|little letter, note
ברייט|רוחב|width, breadth
בּרייט|רָחָב|wide, broad
בּרייטן|להרחיב|to widen, to broaden
ברייטע|רחב (נקבה/רבים)|wide (f./pl.)
ברייטער|רחב|wide, broad
ברייטערסטע|הכי-רחב|widest
בּרייטקייט|רוחב|breadth, width
בריינגט|מביא|brings
בריסקער|מבריסק|of Brisk
בריען|לחלוט, לבשל|to brew, to scald
בריעף|מכתבים|letters
בריף|מכתב, מכתבים|letter(s)
בריק|גשר|bridge
ברכה בעטן|לבקש ברכה|to ask for a blessing
ברעג|שפה, גדה, קצה|shore, bank, edge
ברעטער|קרשים, לוחות|boards, planks
ברעך|שובר (אני)|(I) break
ברעךט|שובר (הוא)|(he) breaks
ברעךסט|שובר (אתה)|(you) break
בּרעכט|שובר|breaks
בּרעכט אויס|פרץ, התפרץ|breaks out, erupts
ברעכין|לשבור (=ברעכן)|to break
ברעכן|לשבור|to break
בּרען|להט|fervor, ardor
ברעןט|בוער (הוא)|(it) burns
ברעןסט|בוער (אתה)|(you) burn
ברענג|מביא (אני)|(I) bring
ברענגט|מביא (הוא)|(he) brings
ברענגסט|מביא (אתה)|(you) bring
ברענגען|להביא|to bring
בּרענט|שורף|burns
ברענען|לשרוף|to burn
ברענענדיגער|בוער, לוהט|burning, blazing
ברענענדיק|בוער, לוהט|burning, blazing
ברענענדיקע|בוערת|burning (f.)
ברעקל|פירור|crumb
בתפלה|בתפילה|in prayer
בת-קול|בת קול|heavenly voice (bas kol)
גאונישן|גאוני|of genius, brilliant
גאָט|אלוהים|God
גאָטסמאַן|איש אלוהים|man of God
גאָטעסדינסט|עבודת אלוהים|divine service, worship
גאָלד|זהב|gold
גאָלדענע|זהובים|golden
גאָלדענעם|זהוב|golden (inflected)
גאַנג|מסדרון|corridor, passage
גאַנגבאַר|מעשי|feasible, current
גאַנגן|ניהול|course, conduct
גאַנדז|אווז|goose
גאַנט|מַהַלָך|gait, walk
גאַניק|מרפסת|porch, balcony
גאנץ|בשלמות|whole, entire
גאַנץ|לגמרי|entirely, quite
גאַנץן|שלם (מוטה)|whole (inflected)
גאַנץע|שלם (נקבה/רבים)|whole (f./pl.)
גאַנץער|שלם (זכר)|whole (m.)
גאַנצהייט|שלמות|wholeness, entirety
גאַנצן|בשלמות|in whole, entirely
גאַנצן זיין|להיות שלם|to be whole
גאַנצע|שלמה|whole (f.)
גאַנצע אינגאַנצן|לגמרי|entirely, completely
גאַנצער|שלם (זכר)|whole (m.)
גאַנצקייט|שלמות|wholeness, integrity
גאַס|רחוב|street
גאַסט|אורח|guest
גאַסן|רחובות|streets
גאָפּל|מזלג|fork
גאַָר|לגמרי|quite, entirely
גאָר|מאד|very, quite
גארטיל|אבנט, חגורה (של תפילה)|gartel, prayer sash
גאַרטל|חגורה, אבנט|belt, sash
גאַרטל (דאַוונען)|אבנט לתפילה|prayer sash (gartel)
גאַרטלען|חגורות|belts, sashes
גאָרטן|גן|garden
גארטעל|אבנט, חגורה|belt, sash
גאָרטען|גינה|garden
גארן|להשתוקק|to yearn, to crave
גאָרניט|כלום, שום־דבר|nothing
גאָרנישט|כלום|nothing
גובערנאַטאָר|מושל|governor
גובערניעס|פלכים, מחוזות|provinces, guberniyas
גוואַלד|עזרה! אוי!|help!; outcry
גוואַלטיק|עצום|tremendous, mighty
גוואַלטיקייט|עוצמה|might, power
גוואַרנטיע|ערבות|guarantee
גוואַרנטירן|להבטיח|to guarantee
גוט|אחוזה|estate; good
גוט יום־טוב|חג שמח|happy holiday (gut yom tov)
גוט מאָרגן|בוקר טוב|good morning
גוט שבת|שבת שלום|good Shabbos
גוּטבּאַוואוּסטער|מוּכַּר-טוב|well-known
גוּטמוּטיגע|מצב רוח טוב...|good-natured, cheerful
גוטן|טוב (מוטה)|good (inflected)
גוטן אָוונט|ערב טוב|good evening
גוטן מאָרגן|בוקר טוב|good morning
גוטס|טובות|good things
גוטס-טאָג|יום טוב|holiday, good day
גוטסקייט|טוּב|goodness
גוּטסקייט|טוּב, טובת לב|goodness, kindness
גוטע|טוב|good
גוטע מידות|מידות טובות|good character traits
גוטע נאַכט|לילה טוב|good night
גוטעס|טוב, טובות|good, good things
גוטער|טוב (זכר)|good (m.)
גוטער אינסטינקט|אינסטינקט טוב|good instinct
גוטער־פריינד|ידיד טוב|good friend
גויאישע|של-גויים|gentile, non-Jewish
ג־טלעכקייט|אלקות|Godliness, divinity
גיב|תן!, נותן (אני)|give!; (I) give
גיבליבן|נשאר (=געבליבן)|remained
גיבן|נותנים; לתת (=געבן)|to give; give
גיגאיינגען|הלך (כתיב ישן)|went (old spelling)
גיגאנגן|הלך (געגאנגען)|went
גיגעבן|(=געגעבן) נתן, נתון|gave, given
גידארפט|(=געדארפט) היה צריך|needed, had to
גיהאט|היה ל־ (עבר של האבן; =געהאט)|had
גיהארעוועט|עמל, יגע (עבר)|toiled, labored
גיהנום|גיהנם|Gehenna, hell
גיהערט|שמע; שייך (=געהערט)|heard; belonged
גיווארין|נהיה (כתיב ישן)|became (old spelling)
גיוואָרן|נהיה (כתיב ישן)|became (old spelling)
גיוויס|בוודאי (כתיב ישן)|certainly (old spelling)
גיווען|היה (כתיב ישן)|was (old spelling)
גיזאגט|אמר (=געזאגט)|said
גיזונטע|בריאים|healthy (pl.)
גיט אַ|נותן|gives
גיטאן|עשה (=געטאן)|did
גיי|הולך (אני)|(I) go
גייט|הולך|goes
גיין|ללכת|to go
גייסט|רוח, נשמה|spirit, soul
גייסטיגע|רוחניים|spiritual (pl.)
גייסטיק|רוחני|spiritual
גייסטיקייט|רוחניות|spirituality
גייסטיקן|רוחני|spiritual (inflected)
גייסטיקע|רוחניים|spiritual (pl.)
גייסטיקער|רוחני|spiritual
גייסטער|רוחניים|spirits
גייענדיק|תוך כדי הליכה, בהליכתו|while walking
גייער|הולך (אדם)|walker, goer
גיך|מהר, בחיפזון, מהיר, בזריזות|quickly, fast
גיךן|מהיר (מוטה)|quick (inflected)
גיךע|מהיר (נקבה/רבים)|quick (f./pl.)
גיךער|מהיר (זכר)|quick (m.)
גיכער|יותר מהר|faster, sooner
גילערנט|למד (=געלערנט)|studied, learned
גימאכט|עשה, נעשה (=געמאכט)|made, done
גינארט|רימה, הונה (גענארט)|deceived, tricked
גינוג|מספיק (גענוג)|enough
גינומן|לקח (=גענומען)|took
גיס|שופך (אני)|(I) pour
גיסט|שופך (אתה)|(you) pour
גיסן|לשפוך|to pour
גיענטפערט|ענה (געענטפערט)|answered
גיפרעגט|(=געפרעגט) שאל|asked
גיקומן|בא (=געקומען)|came
גירופן|(=גערופן) נקרא, כונה|called, named
גירסא|גרסה|version, textual reading
גירעדט|דיבר (=גערעדט)|spoke
גירעט|דיבר (=גערעדט)|spoke
גישפּירט|הרגיש|felt
גישריבן|כתוב (=געשריבן)|written
גלאָז|כוס|glass
גלאט|חלק; סתם|smooth; simply, plainly
גלאַטיק|חלק|smooth
גלאַטקייט|חלקות, שטחיות|smoothness, superficiality
גלאַנץ|ברק, זוהר|shine, luster
גלאַנצן|להבריק|to shine, to gleam
גלויב|אמונה|faith, belief
גלויבט|מאמין (מן גלויבן)|believes
גלויביק|מאמין|believing, faithful
גלויביקייט|אמונה|faithfulness, belief
גלויביקער|מאמין|believer
גלויבן|להאמין|to believe
גלויבּן|אמונה|faith, belief
גלידער|איברים|limbs
גליטשיקער|חלקלק|slippery
גלייב|מאמין (אני)|(I) believe
גלייבט|מאמין (הוא)|(he) believes
גלייבסט|מאמין (אתה)|(you) believe
גלייך|ישר, שווה|straight, equal
גלייך ווי|כמו, כאילו|just as, as if
גלייכגילטיק|אדיש|indifferent
גלייכגילטיקייט|אדישות|indifference
גלייכווערטל|פתגם, אמרה שנונה|witty saying, proverb
גלייכן|לדמות|to compare, to liken
גלייכע|ישרים; שווים|straight; equal (pl.)
גלייכער|ישר יותר; עדיף|straighter; preferable
גלייכער וועג|דרך ישרה|straight path
גלייכצייטיק|בו בזמן|simultaneously
גלייכקייט|יָשרוּת|straightness, uprightness
גליק|מזל, אושר|luck, happiness
גליקליכסטע|הִכי-מאושרים|happiest
גליקליכע|מאושרים|happy (pl.)
גליקליכען|מאושר (מוטה)|happy (inflected)
גליקליכער|מאושר|happy, fortunate
גליקלעך|מאושר|happy, fortunate
גליקלעכע|מאושר, בר-מזל|happy, lucky
גליקלעכקייט|אושר|happiness
גלעזער|כוסות, משקפיים|glasses; spectacles
גלעזערווייז|בכוסות, כוס אחר כוס|by the glass, glass by glass
גלעזערן|עשוי זכוכית|made of glass
גלעט|מלטף; חלק|strokes, caresses; smooth
גלעקער|פעמונים|bells
גנבענען|לגנוב|to steal
גע-|קידומת לעבר|(past-tense prefix)
געאָגראַפיע|גאוגרפיה|geography
געאיילט|הִאיץ, הִזדרז|hurried, rushed
געאכטעט|מכובד, נחשב|respected, esteemed
געאסרט|נאסר|was forbidden
געאַקערט|חרש|plowed
געארבייט|עבד (כתיב ישן)|worked (old spelling)
געאַרבעט|עבד|worked
געארט|הפריע, שינה לו (עס האט אים געארט)|bothered, mattered to
געבאט|צו, מצווה|commandment
געבאטן|ציווה; מצוות|commanded; commandments
געבאַקן|אפה|baked
געבאָרן|נולד|born
געבארענע|ילידת, נולדה|born (f.)
געבארענער|יליד|born (m.), native
גע­בוט|פקודה, מצווה|command, commandment
גע­בוטן|מצוות|commandments
געבויט|בנה|built
געבויטע|בנויים|built (pl.)
געבויען|בנוי, בנה|built
געבוירן געוואָרן|נולד|was born
געבוירנטאָג|יום הולדת|birthday
געבוירענע|ילידי|born, natives of
געבונדן|קשור|tied, bound
געבורט|הולדת|birth
גע­בורטסטאָג|יום הולדת|birthday
געביט|תחום|domain, field
געבּיטן|שִינה|changed
געבּיטען|הִשתנה, הַחליף, שִינה|changed, exchanged
געביידע|בניין|building
געבילדעסטע|המשכילים ביותר|most educated
געבין|(=געבן) לתת|to give
געבלאָזן|תקע|blew
געבּלאָזען|נשב|blew
געבּליבּען|נשאר|remained
געבן|לתת|to give
גע­בעט|תפילה, בקשה|prayer, request
געבעטן|לבקש|asked, requested
גע­בעטסבוך|סידור|prayer book
געבענטשט|מבורך|blessed
געבענקט|התגעגע|longed, yearned
געבענשט|מבורך|blessed
געבער|נותן|giver
געבראַכט|הביא|brought
געבראַכט געוואָרן|הובא|was brought
געבראַכט (האט)|הביא|brought
געבראָכן|שבר|broke
געבריינגט|הביא|brought
געברענט|בער, נשרף|burned
געגאַנגען|הלך|went
געגאָסן|שנשפכו|poured
געגארט|השתוקק|yearned, craved
געגלייבט|האמין|believed
געגליכען|דומה, נמשל|resembled, was likened
געגנבעט|גנב, נגנב|stole, was stolen
געגנט|איזור|region, district
געגעבן געוואָרן|ניתן|was given
געגעבען|נתן, נתון|gave, given
געגענד|איזור (שכונה)|area, neighborhood
געגענדען|אזורים|areas, regions
געגעסען|אכל|ate
געגריבלט|חרוץ, שרוט|grooved, scratched
געגרייטע|מוכנים|prepared (pl.)
געגרינדעט|ייסד|founded, established
געדאַווןט|התפלל|prayed
געדאַוונט|התפלל|prayed
גע­דאַכט|חשב|thought
געדאַנק|הגות|thought, idea
געדאַנק|מחשבה|thought
געדאַנקט|הודה|thanked
גע­דאַנקן|מחשבות|thoughts
גע­דאַנקנאויסטויש|חילופי מחשבות|exchange of ideas
גע­דאַנקנגאַנג|מהלך מחשבה|train of thought
גע­דאַנקנוועלט|עולם המחשבה|world of thought
געדאַנקען-פאַרארטיפונג|רעיונות עמוקים|deepening of ideas
געדאַרפט|הוצרך|needed, had to
געדאַרפט (האָט)|צריך היה|had to
געדויערט|נמשך, נִמשך|lasted
געדויערן|נִמשך (בנוגע לזמן)|to last
געדויערען|יִמָשֵך (בנוגע לזמן)|to last
געדולד|סבלנות|patience
געדוּלט|אורך רוח, סבלנות|patience, forbearance
געדוּנגענע|שׂכוּרים|hired ones
געדונערט|רָעַמה|thundered
געדיינק|זוכר|remembers
געדיינקט|זוכר, לִזכור|remembers; to remember
געדיינקן|לזכור|to remember
געדיכט|עב, סמיך|dense, thick
געדינט|שירת|served
געדענק|זוכר (אני)|(I) remember
געדענקט|זוכר (הוא)|(he) remembers
געדענקסט|זוכר (אתה)|(you) remember
געדענקסטו|האם אתה זוכר?|do you remember?
געדענקען|לזכור|to remember
געדעקט|כיסה|covered
געדערציילט|סיפר|told, related
געדרוקט|מודפס|printed
געדרוּקטע|מודפסים|printed (pl.)
געדרייט|סובב, הסתובב|turned, twisted
געדריקט|לחץ; העיק|pressed; oppressed
געהאָדוועט|גידל|raised, reared
געהאדעוועט|גידל, טיפח|raised, nurtured
גע­האַט|היה לו|had
געהאַלטן|החזיק|held
געהאַלטן (האָט)|אחזו|held
געהאָלפן|עזר|helped
געהאָנגען|תלוי|hung
געהאַנדעלט|נוהל, עסק|acted, dealt
געהאַנדעלט האָט זיך|עסק ב-, נוהל|it was about, dealt with
געהאָףט|קיווה|hoped
געהאָפט|קיווה|hoped
געהארעוועט|עמל, עבד קשה|toiled, labored hard
געהויבען|מורם, נעלה|elevated, lofty
געהויבענער|נעלה|elevated, exalted
געהוייבענעם|נעלה|elevated (inflected)
געהוסט|השתעל|coughed
געהיט|שמר, נשמר|guarded, kept
געהיילט|ריפא|healed
געהייליגט|מקודש|sanctified, hallowed
געהייליקט|מקודש|sanctified, hallowed
געהיימניש|סוד|secret, mystery
געהיימע|מוסתר|secret, hidden
געהייסן|צוה, ציוו|commanded, ordered
געהייסען|נקרא|was called
געהילץ|עץ, עצים|wood, timber
געהענדיג|תוך כדי הליכה|while walking
געהער|שייך (אני)|(it) belongs; hearing
געהערט|שָמַע, שמע|heard
געהערט (האָט)|בשמעו|heard, upon hearing
געהערט צו|שייך|belonged to
געהעריג|כראוי, כמו שצריך|proper, as it should be
געהעריגען אַכט|שימת לב ראויה|proper attention
געהעריק|כהוגן, כראוי|proper, fitting
געהערסט|שייך (אתה)|(you) belong
געהרגט|הרגו|killed
געוואויןט|גר|lived, dwelt
געוואוינהייט|הרגל|habit, custom
געוואַָוינט|גר|lived, dwelt
געוואָוינט|הִתגוררו|dwelt, resided
געוואונדערט|התפלא|wondered, was surprised
געוואונטשן|איחל, בירך|wished, blessed
געוואַונען|זכה, ניצח|won, gained
געוואונשען|איחל|wished
געוואָוסט|ידע|knew
געוואָוסט (שוין)|ידע, ידעו|knew
געוואלגערט|התגולל|rolled about, lay around
געוואלד|זעקה, צעקה; אבוי|outcry, scream; woe
געוואַלדיק|עצום, אדיר|tremendous, mighty
געוואָלט|רצה|wanted
געוואָנדן|?פנה, פנו|turned; addressed
געוואָקסן|גָדַל|grew
געוואַקסן|גדלו|grew (pl.)
געוואַרט|חיכה|waited
גע­וואָרן|נהיה|became
געוואָרנט|הוזהר|was warned
געווארענער|שנעשה, שהפך ל־|(one who) became
געוואָרפן|זרק|threw
געוואָרפען|זרק, השליך, זרק|threw, cast
געוואַשן|רחץ|washed
געווהענט|גָרו|dwelt, lived
געוויזן|מראה|showed
געוויזן (האָט)|שלח|showed
געוויזען|הראה|showed
געווייזט|הראה|showed
געוויין|בכי|weeping, crying
גע­וויינט|בכה|wept, cried
געוויינטליך|בצורה רגילה, ללא שימת לב|usually, ordinarily
געוויינטליכע|רגילים, שגרתיים|usual, ordinary (pl.)
געוויינליך|?רגילות, קביעות|usually, ordinarily
געוויינלעך|רגיל, שכיח|usual, common
געוויינלעכן|רגיל|usual (inflected)
געוויינלעכע|רגילים|usual (pl.)
געווייקט|שרוי, הושרה|soaked, steeped
געוויכט|משקל, כובד|weight
געווינט|נוצח|won
געווינטשט|איחל|wished
געווינטשן|איחל|wished
געווינס|זכייה, רווח|winnings, gain
געווינסצעטל|כרטיס הגרלה זוכה|winning lottery ticket
געווינען|לתפוס, לקנות, להרוויח, לזכות|to win, to gain
געוויס|בוודאי, בטוח, בטוח, בוודאות|certainly, surely
גע­וויסן|מצפון|conscience
גע­וויסנהאַפֿט|מצפוני|conscientious
געוויסע|מסוימים, ידועים|certain (pl.)
געוויסען|מסויימים|certain (pl.)
געוויסער|מסוים, מסוים, ידוע, מסויים|a certain
געווירקט|פעל, גרם|acted, brought about
געוועהנט|רגיל, מורגל|accustomed
געוועהנליך|רגיל (כתיב ישן)|usual (old spelling)
גע­וועזן|היה|was
געווען|היה|was
געווענדט|כרוך, תלוי, תלוי, כרוך|dependent, bound up
געווענדעט|פנה; תלוי ב־|turned; dependent on
געווענליכער|רגיל|ordinary
געוועקט|עורר, הקיץ|awoke, awakened
געווערט|נהי' (לוקח)|became; lasted
גע­זאָגט|אמר|said
געזאָלט|אמור להיות, צריך|supposed to, ought to
געזאַמלט|אסף, נאסף|gathered, collected
געזאַנג|שירה, זמר|song, singing
געזאָרגט|דאג, דאגה|worried; concern
געזוךט|חיפש|sought
געזוכט|מחפש|sought
געזונגען|שר|sang
געזונד|בריא, בריאות|healthy; health
געזונד-צושטאַנד|מצב בריאות|state of health
געזונט|בריא, בריאות|healthy; health
געזונט ווערן|להבריא|to recover, to get well
געזונטהייט|בריאות|health
געזונטן|בריא (מוטה)|healthy (inflected)
געזונטע|בריא (נקבה/רבים)|healthy (f./pl.)
געזונטער|בריא (זכר)|healthy (m.)
געזונטערהייט|לבריאות|in good health
געזיכט|פנים|face
געזיכטער|פּנֵי, פּרצופי|faces
געזעגנט|(זיך) נפרד לשלום|bid farewell
געזעגענען|להיפרד|to take leave, to say goodbye
גע­זעהן|ראה|saw
געזעהען|ראה|saw
גע­זעלן|לחברות|to associate
געזעלשאַפֿט|חברה|society, company
געזעלשאַפטליכען|בסיסיים, עיקריים|social (inflected)
געזעלשאַפֿטלעך|חברותי|social
געזען|לראות|to see; saw
געזעסן|ישבו, ישב|sat
געזעסען|ישב, היה יושב, לשֶבת|sat
גע­זעץ|חוק|law
געזעץט|הושיב|seated
גע­זעצבוך|ספר חוקים|book of laws, code
געזעצט|ישב|sat
גע­זעציק|חוקי|lawful, legal
געזעצן|חוקים|laws
געחאפט|תפס, חטף|caught, snatched
געחזרט|חזר (על מאמר או שיעור)|reviewed, repeated (a lesson)
געחלומט|חלם|dreamed
געחלשט|התעלף|fainted
געט|גט|divorce document (get)
געטא|גטו|ghetto
געטאָהן|עשה|did
גע­טאָן|עשה|did
געטאָן (האָט)|עשה, עשית|did
געטאַנץט|רקד|danced
געטאַנצט|רקד|danced
געטאָרט|הי' מותר, היה מיותר|was permitted; dared
געטאָרט ניט|לא הורשה|was not allowed
געטייטשט|פירש, תרגם|interpreted, translated
געטיילט|חילק; מחולק|divided; distributed
געטליכע|אלוקית|divine (f.)
געטליכען|אלוקי (מוטה)|divine (inflected)
געטליכער|אלוקי|divine
געטליכקייט|אלוקות|Godliness, divinity
געטלעך|אלוקי|divine, Godly
געטלעכקייט|אלוקות|Godliness, divinity
געטענהט|טען|argued, claimed
געטראָגן|נשאו|carried, bore
געטראָגען|נשא|carried, bore
געטראטן|דרך, פסע|trod, stepped
געטראַכט|חשב|thought
געטראַנקן|שתיה|drink, beverage
געטראָפן|מצא|found; hit
געטראָפען|פגש, מצא, קרה, פגש|met, encountered; happened
גע­טרונקען|שתה|drank
געטריי|נאמן|loyal, faithful
געטרייע|יקרים|dear, faithful (pl.)
געטרייקייט|נאמנות|loyalty, faithfulness
געטריישאַפט|נאמנות|loyalty, fidelity
געטרינקען|שתה|drank
גע'ירש'ט|ירשו|inherited
געכאַפּט|תפס|caught, grabbed
געכשרט|הוכשר|was made kosher
געל|צהוב|yellow
געלאָדן|טעון|loaded
געלאָזט|הניח, אפשר|let, allowed
געלאָזן|הניח, עזב|let, left
געלאַךט|צחק|laughed
גע­לאַכט|צחק|laughed
געלאָפן|רץ|ran
געלאָפען|רצו|ran (pl.)
גע­לד|כסף|money
געלויבט|משובח|praised
געלויכטן|האיר, זרח|shone, glowed
געלונגען|הצליח|succeeded
געלונגענעם|מוצלח, שעלה יפה|successful (inflected)
געלונגענער|מוצלח|successful
געלוסט|חשק|desired, craved
געלט|כסף|money
גע­לטיק|כספי|monetary, financial
גע­לטמיטל|אמצעי כסף|financial means
געליטן|ייסורים|suffered; suffering
געלייגט|הניח|laid, put
געלייזט ווערן|להפתר|to be solved, to be resolved
געלייענט|קרא|read
געלינגען|להצליח|to succeed
געליען|הלווה|lent
געלן|צהוב (מוטה)|yellow (inflected)
געלע|צהוב (נקבה/רבים)|yellow (f./pl.)
געלעבט|חי|lived
געלעגט|(=געלייגט) הניח|laid, put
געלעגן|שכב|lay
געלעגען|מוכח, שכב|lay
געלעגענהייט|הזדמנות|opportunity
געלעגענהייטן|הזדמנויות|opportunities
געלעגער|מיטה|bed, resting place
געלעכטער|צחוק|laughter
געלעכטער מאַכן|ללעוג|to make fun, to mock
געלעכצט|כמה, השתוקק|yearned, craved
געלער|צהוב (זכר)|yellow (m.)
געלערןט|למד|studied, learned
געלערנט|למד|studied, learned
געלערנטע|מלומדים|learned ones, scholars
געלערנטער|למדן|scholar
געלערענט|למד, לימד|studied; taught
געלערענטע|למדנים|scholars
געמאָגט|היה מותר, יכול היה|was allowed, could
געמאַטערט|התייגע|toiled, wore oneself out
געמאַךט|עשה|made, did
גע­מאַכט|עשה|made, did
געמאָכט|דרש|demanded
געמאַכט געוואָרן|נעשה|was made
געמאָלט|יתואר, יצוייר|depicted, imagined
געמאָלן|מצויר|painted, depicted
געמאָןט|תבע|demanded
געמאנט|תבע, דרש|demanded
געמאָסטן|מָדַד|measured
געמאָסטען|מדודים|measured (pl.)
געמוזט|היה צריך|had to, was forced to
געמיט|מצב רוח, הלך נפש|mood, disposition
געמיטער|מצב רוח|mood, spirits
געמייןט|התכוון|meant, intended
געמיינט|התכוון|meant, intended
געמיינט (האָט)|חשב|thought
געמישט|מעורב|mixed
געמעגט|הורשה, יכול היה|was allowed, could
גענאָסען|נהנה, נהנה מ-|enjoyed, benefited
גענארט|רימה, הונה|deceived, tricked
גענוג|מספיק|enough
גענוטיגט|הוצרך, נזקק|was in need, obliged
גענוי|מדוייק, בדיוק, מדוייק|exact, precisely
גענומען|לקח|took
גענומען (האָט)|לקח|took
געניט|מיומן, מנוסה|skilled, experienced
גענעראל|גנרל; כללי|general
געסט|אורחים|guests
געסיל|סימטה|alley, lane
געסל|סמטה, רחוב קטן|alley, small street
געסלעך|סמטאות|alleys
געסן|רחובות, סמטאות|streets, alleys
געענדיגט|סיים, גמר|finished, ended
געענדיקט|נִגמר|finished, ended
